i = 0,  i >>3 = 0, i mod sizeof(tone500Hz_pdmdata) = 0 
i = 1,  i >>3 = 0, i mod sizeof(tone500Hz_pdmdata) = 1 
i = 2,  i >>3 = 0, i mod sizeof(tone500Hz_pdmdata) = 2 
i = 3,  i >>3 = 0, i mod sizeof(tone500Hz_pdmdata) = 3 
i = 4,  i >>3 = 0, i mod sizeof(tone500Hz_pdmdata) = 4 
i = 5,  i >>3 = 0, i mod sizeof(tone500Hz_pdmdata) = 5 
i = 6,  i >>3 = 0, i mod sizeof(tone500Hz_pdmdata) = 6 
i = 7,  i >>3 = 0, i mod sizeof(tone500Hz_pdmdata) = 7 
i = 8,  i >>3 = 1, i mod sizeof(tone500Hz_pdmdata) = 8 
i = 9,  i >>3 = 1, i mod sizeof(tone500Hz_pdmdata) = 9 
i = 10,  i >>3 = 1, i mod sizeof(tone500Hz_pdmdata) = 10 
i = 11,  i >>3 = 1, i mod sizeof(tone500Hz_pdmdata) = 11 
i = 12,  i >>3 = 1, i mod sizeof(tone500Hz_pdmdata) = 12 
i = 13,  i >>3 = 1, i mod sizeof(tone500Hz_pdmdata) = 13 
i = 14,  i >>3 = 1, i mod sizeof(tone500Hz_pdmdata) = 14 
i = 15,  i >>3 = 1, i mod sizeof(tone500Hz_pdmdata) = 15 
i = 16,  i >>3 = 2, i mod sizeof(tone500Hz_pdmdata) = 16 
i = 17,  i >>3 = 2, i mod sizeof(tone500Hz_pdmdata) = 17 
i = 18,  i >>3 = 2, i mod sizeof(tone500Hz_pdmdata) = 18 
i = 19,  i >>3 = 2, i mod sizeof(tone500Hz_pdmdata) = 19 
i = 20,  i >>3 = 2, i mod sizeof(tone500Hz_pdmdata) = 20 
i = 21,  i >>3 = 2, i mod sizeof(tone500Hz_pdmdata) = 21 
i = 22,  i >>3 = 2, i mod sizeof(tone500Hz_pdmdata) = 22 
i = 23,  i >>3 = 2, i mod sizeof(tone500Hz_pdmdata) = 23 
i = 24,  i >>3 = 3, i mod sizeof(tone500Hz_pdmdata) = 24 
i = 25,  i >>3 = 3, i mod sizeof(tone500Hz_pdmdata) = 25 
